date,createdAt,timestamp,context,value
2025-02-25 13:39:38.763000+05:30,1.74047E+12,1.74047E+12,{},905
2025-02-25 13:39:38.613000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:38.463000+05:30,1.74047E+12,1.74047E+12,{},848
2025-02-25 13:39:38.452000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:38.302000+05:30,1.74047E+12,1.74047E+12,{},890
2025-02-25 13:39:38.152000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:38.002000+05:30,1.74047E+12,1.74047E+12,{},870
2025-02-25 13:39:37.991000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:37.841000+05:30,1.74047E+12,1.74047E+12,{},845
2025-02-25 13:39:37.691000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:37.541000+05:30,1.74047E+12,1.74047E+12,{},896
2025-02-25 13:39:37.530000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:37.380000+05:30,1.74047E+12,1.74047E+12,{},925
2025-02-25 13:39:37.230000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:37.080000+05:30,1.74047E+12,1.74047E+12,{},809
2025-02-25 13:39:37.069000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:36.919000+05:30,1.74047E+12,1.74047E+12,{},759
2025-02-25 13:39:36.769000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:36.619000+05:30,1.74047E+12,1.74047E+12,{},944
2025-02-25 13:39:36.608000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:36.458000+05:30,1.74047E+12,1.74047E+12,{},875
2025-02-25 13:39:36.308000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:36.158000+05:30,1.74047E+12,1.74047E+12,{},807
2025-02-25 13:39:36.147000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:35.997000+05:30,1.74047E+12,1.74047E+12,{},809
2025-02-25 13:39:35.847000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:35.696000+05:30,1.74047E+12,1.74047E+12,{},816
2025-02-25 13:39:35.685000+05:30,1.74047E+12,1.74047E+12,{},0
2025-02-25 13:39:35.535000+05:30,1.74047E+12,1.74047E+12,{},683
